1999,JAN,11.25,6.54,23.67,23.88
,FEB,9.66,5.93,22.83,22.94
,MAR,8.93,5.49,21.36,21.07
,APR,8.18,5.14,20.9,20.9
,MAY,7.55,4.52,20.86,20.81
,JUN,7.83,4.57,20.7,20.86
,JUL,7.65,5.15,21.12,21.02
,AUG,7.79,4.81,21.93,21.95
,SEP,8.44,5.35,22.45,22.48
,OCT,9.1,5.72,23.12,23.14
,NOV,9.48,6.04,24.43,24.79
,DEC,9.74,6.15,25.19,25.58
2000,JAN,10.38,6.42,25.14,25.91
,FEB,9.17,6.04,25.39,25.67
,MAR,8.01,5.14,23.76,24.09
,APR,7.61,5.3,23.44,24
,MAY,7.21,4.77,23.4,23.93
,JUN,7.01,4.89,23.11,22.86
,JUL,6.67,4.71,22.39,22.09
,AUG,6.26,4.53,21.23,20.93
,SEP,6.22,4.36,20.57,20.58
,OCT,6.22,4.31,20.22,19.94
,NOV,6.2,4.36,19.79,20.1
,DEC,6.22,4.51,19.6,19.73
2001,JAN,6.54,4.67,20.27,20.18
,FEB,6.55,4.63,20.13,20.48
,MAR,6.92,4.66,20.19,20.12
,APR,6.58,4.64,19.56,19.89
,MAY,6.44,4.42,19.2,19.52
,JUN,6.36,4.39,19.26,19.65
,JUL,6.22,4.34,19.71,19.98
,AUG,6.24,4.43,19.54,19.71
,SEP,6.27,4.89,19.44,19.63
,OCT,6.21,4.37,19.77,19.8
,NOV,5.87,4.35,19.44,19.83
,DEC,5.7,4.4,19.49,20.04
2002,JAN,5.72,4.42,19.3,19.31
,FEB,5.52,3.54,19.18,19.19
,MAR,5.42,3.71,18.86,18.78
,APR,5.48,4.12,18.69,18.88
,MAY,5.31,4.02,18.54,18.73
,JUN,5.21,4,18.38,18.46
,JUL,5.08,3.89,18.12,18.32
,AUG,4.99,3.74,18.12,18.56
,SEP,4.8,3.53,18.14,18.52
,OCT,4.66,3.79,18.34,18.89
,NOV,4.75,3.81,18.05,18.56
,DEC,4.75,3.47,18.34,18.56
2003,JAN,4.68,3.41,19.02,18.52
,FEB,4.4,3.42,18.83,17.81
,MAR,3.99,3.28,18.49,17.26
,APR,4.06,3.27,18.57,17.27
,MAY,3.71,3.14,18.52,17.18
,JUN,4.84,3.07,15.73,14.93
,JUL,4.49,1.79,15.3,14.43
,AUG,3.37,1.72,14.81,14.96
,SEP,3.07,1.44,14.82,14.31
,OCT,3.13,1.43,14.75,14.13
,NOV,3.32,1.44,14.07,14.02
,DEC,3.29,1.38,13.47,13.74
2004,JAN,3.12,1.22,13.48,13.3
,FEB,2.47,1.47,13.01,12.3
,MAR,2.32,1.3,13.12,11.65
,APR,1.96,1.24,12.67,11.08
,MAY,2.22,1.15,12.55,10.79
,JUN,2.2,1.15,12.17,10.72
,JUL,2.25,1.1,12.31,11.1
,AUG,2.26,1.08,12.19,10.81
,SEP,2.63,1.03,12.27,10.95
,OCT,2.33,1.07,12.39,11.85
,NOV,2.66,1.3,11.97,12.21
,DEC,2.77,0.98,12.25,12.69
2005,JAN,3.08,0.97,12.12,13.14
,FEB,3.47,0.96,12.35,13.82
,MAR,3.75,0.98,12.84,14.03
,APR,3.91,1.1,13.12,14
,MAY,4.05,1.07,13.11,13.94
,JUN,4.21,1.24,13.09,13.83
,JUL,4.14,1.3,13.09,13.54
,AUG,4.3,1.3,13.03,13.81
,SEP,4.35,1.34,12.83,13.5
,OCT,4.43,1.32,12.97,13.56
,NOV,4.5,1.37,12.93,13.33
,DEC,4.52,1.38,13.16,13.67
2006,JAN,4.48,1.33,13.2,13.81
,FEB,4.48,1.36,13.27,13.34
,MAR,4.28,1.34,13.33,13.26
,APR,4.35,1.33,13.51,13.81
,MAY,4.36,1.31,13.95,14.02
,JUN,4.35,1.27,13.79,13.78
,JUL,4.31,1.32,13.72,13.48
,AUG,4.08,1.41,13.64,13.43
,SEP,4.04,1.36,13.54,13.42
,OCT,4.11,1.35,14.01,13.94
,NOV,4.15,1.37,13.93,13.96
,DEC,4.11,1.35,13.74,13.91
2007,JAN,4.35,1.42,13.78,14.11
,FEB,4.21,1.41,13.64,14.05
,MAR,4.19,1.43,13.56,13.95
,APR,4.11,1.35,13.33,13.26
,MAY,4.14,1.57,13.38,13.35
,JUN,4.18,1.54,13.14,13.2
,JUL,4.33,1.65,13.29,13.34
,AUG,4.31,1.6,13.04,13.39
,SEP,4.34,1.67,12.87,13.26
,OCT,4.27,1.64,13.24,13.29
,NOV,4.33,1.65,13.39,13.43
,DEC,4.32,1.67,13.32,12.96
2008,JAN,4.37,1.72,13.78,13.41
,FEB,4.37,1.7,13.84,13.26
,MAR,4.43,1.72,14.06,13.48
,APR,4.41,1.71,13.91,13.46
,MAY,4.45,1.71,14.01,13.53
,JUN,4.48,1.7,14.06,13.3
,JUL,4.54,1.67,13.9,13.46
,AUG,4.65,1.68,13.66,13.11
,SEP,4.62,1.73,13.66,13.43
,OCT,4.65,1.74,14.12,13.91
,NOV,4.86,1.61,14.33,13.85
,DEC,4.89,1.65,14.87,14.39
2009,JAN,5.19,2.1,14.78,13.84
,FEB,5.23,2.13,14.67,13.46
,MAR,5.09,1.9,14.87,13.78
,APR,5.12,1.91,14.71,13.66
,MAY,5.1,1.67,14.85,14.13
,JUN,5.28,2.08,15.09,14.41
,JUL,5.09,1.67,14.79,13.94
,AUG,5,1.65,14.76,13.9
,SEP,5.05,1.65,14.74,13.76
,OCT,5.03,1.85,14.78,14.03
,NOV,5.06,1.71,14.85,14.24
,DEC,4.84,1.73,14.76,14.13
2010,JAN,5,1.75,14.98,14.25
,FEB,4.89,1.81,14.98,14.25
,MAR,4.74,1.81,14.8,13.59
,APR,4.49,1.85,14.58,14.5
,MAY,4.58,1.76,14.46,14.38
,JUN,4.45,1.75,14.39,14.23
,JUL,3.85,1.55,14.29,14.03
,AUG,3.74,1.5,14.18,13.97
,SEP,3.53,1.47,13.98,13.81
,OCT,3.58,1.46,13.85,13.64
,NOV,3.54,1.4,13.95,13.77
,DEC,3.59,1.45,13.87,13.69
2011,JAN,3.43,1.25,14.03,13.93
,FEB,3.41,1.41,13.92,13.65
,MAR,3.47,1.37,13.92,13.6
,APR,3.47,1.38,13.92,13.68
,MAY,3.51,1.38,13.88,13.72
,JUN,3.68,1.37,13.91,13.59
,JULY,3.85,1.37,14.14,13.89
,AUG,4.07,1.37,14.32,14.28
,SEP,4.21,1.35,14.79,14.64
,OCT,4.83,1.33,15.21,14.87
,NOV,5.75,1.41,18.51,18.67
,DEC,6.99,1.59,20.04,20.2
2012,JAN,7.66,1.62,19.54,20.38
,FEB,8.01,1.69,20.28,20.53
,MAR,8.01,1.72,20.34,20.53
,APR,9.04,1.58,20.22,20.27
,MAY,8.42,1.59,20.12,20.41
,JUN,7.88,1.46,20.3,20.36
,JULY,8.25,1.66,20.15,19.96
,AUG,7.85,1.58,20.13,20.31
,SEP,7.4,1.55,19.73,19.8
,OCT,6.86,1.6,19.04,19.13
,NOV,8.71,1.58,17.78,18.77
,DEC,6.8,1.6,18.15,17.79
2013,JAN,6.51,1.65,18.13,17.97
,FEB,6.29,1.61,17.84,17.68
,MAR,6.54,1.42,17.73,17.54
,APR,6.39,1.45,17.87,17.71
,MAY,6.53,1.53,17.45,17.6
,JUNE,6.65,1.73,16.97,16.92
,JULY,6.59,1.64,17.02,17
,AUG,6.36,1.67,16.96,16.89
,SEP,6.55,1.64,16.86,16.42
,OCT,6.43,1.63,17,16.96
,NOV,6.61,1.58,16.89,16.5
,DEC,6.65,1.58,16.99,16.51
2014,JAN,6.55,1.56,17.03,16.82
,FEB,6.57,1.49,17.06,16.88
,MAR,6.61,1.56,16.91,16.44
,APR,6.48,1.53,16.7,16.44
,MAY,6.42,1.54,16.97,17.85
,JUN,6.56,1.5,16.36,15.88
,JUL,6.59,1.33,16.91,17.12
,AUG,6.51,1.5,16.26,16.2
,SEP,6.64,1.51,16.04,15.79
,OCT,6.64,1.55,16,15.77
,NOV,6.72,1.52,15.94,15.66
,DEC,6.81,1.85,15.99,15.86
2015,JAN,6.65,1.58,15.93,15.95
,FEB,6.68,1.53,15.47,15.67
,MAR,6.63,1.53,15.46,15.68
,APR,6.6,1.9,15.4,15.52
,MAY,6.55,1.48,15.26,15.1
,JUN,6.64,1.85,16.06,15.67
,JUL,6.31,1.37,15.75,16.05
,AUG,6.91,1.5,15.68,15.98
,SEP,7.28,1.71,16.82,16.61
,OCT,7.54,1.68,16.58,16.81
,NOV,7.39,1.32,17.16,17.44
,DEC,8.02,1.56,18.3,18.48
2016,JAN,7.57,1.56,18,18.45
,FEB,7.49,1.4,17.91,18.25
,MAR,7.17,1.35,17.87,18.14
,APR,6.89,1.49,18.04,18.08
,MAY,6.44,1.59,18.22,18.2
,JUNE,6.78,1.6,18.18,18.09
,JULY,6.64,1.67,18.1,17.84
,AUG,6.42,1.68,17.66,17.96
,SEP,6.94,3.78,13.86,13.74
,OCT,7.82,6.08,13.73,13.48
,NOV,7.65,6.52,13.67,13.49
,DEC,7.33,6.37,13.66,13.49
2017,JAN,7.2,6.09,13.66,13.3
,FEB,7.65,6.81,13.69,13.32
,MAR,7.12,5.89,13.61,13.29
,APR,6.97,5.67,13.61,13.3
,MAY,7.07,5.85,13.71,13.44
,JUN,7.15,5.63,13.66,13.38
,JUL,7.43,6.4,13.7,13.65
,AUG,7.67,5.94,13.65,13.66
,SEP,7.66,6.43,13.69,13.65
,OCT,8.01,6.92,13.71,13.68
,NOV,8.07,6.93,13.68,13.6
,DEC,8.22,6.91,13.64,13.54
2018,JAN,8.26,6.97,13.65,13.61
,FEB,8.25,7.01,13.68,13.75
,MAR,8.16,6.85,13.49,13.4
,APR,8.17,6.72,13.24,13.29
,MAY,8.08,6.64,13.25,13.3
,JUN,8.04,6.6,13.22,13.23
,JUL,8.01,6.53,13.1,13.16
,AUG,7.78,6.52,12.78,12.9
,SEP,7.76,6.33,12.66,12.52
,OCT,7.63,5.7,12.61,12.42
,NOV,7.41,5.38,12.55,12.11
,DEC,7.41,5.13,12.51,12.17
2019,JAN,7.34,5.14,12.5,12.15
,FEB,7.28,5.16,12.47,12.13
,MAR,7.22,5.05,12.51,12.13
,APR,7.17,4.75,12.5,12.15
,MAY,7.2,4.71,12.47,12.13
,JUNE,7.19,4.77,12.47,12.12
,JULY,6.97,4.77,12.39,11.89
,AUG,6.91,4.54,12.46,11.97
,SEP,6.98,4.58,12.47,11.99
,OCT,6.96,4.44,12.43,11.88
,NOV,6.56,4.47,12.38,11.63
,DEC,7.11,4.02,12.24,11.67
2020,JAN,7.07,4.25,12.29,11.97
,FEB,7.06,4.2,12.19,11.82
,MAR,7.07,4.15,12.09,11.79
,APR,7.01,4.21,11.92,11.55
,MAY,6.96,4.18,11.95,11.61
,JUNE,6.86,4.15,11.89,11.24
,JULY,6.78,4.11,11.94,11.18
,AUG,6.64,4.11,11.94,11.18
,SEPT,6.41,3.78,11.75,11.15
,OCT,6.26,3.38,11.98,11.44
,NOV,6.31,3.42,11.99,11.39
,DEC,6.3,2.7,12.02,11.51
2021,JAN,6.31,2.73,12,11.43
,FEB,6.47,3.37,12.02,11.52
,MAR,6.46,3.48,12.05,11.61
,APR,6.3,2.66,12.08,11.66
,MAY,6.3,2.55,12.06,11.57
,JUNE,6.37,2.55,12.02,11.18
,JULY,6.34,2.51,12.09,11.44
,AUGUST,6.3,2.64,12.12,11.38
,SEPTEMBER,6.34,2.57,12.1,11.34
,OCTOBER,6.39,2.58,12.12,11.33
,NOVEMBER,6.43,2.6,12.15,11.41
,DECEMBER,6.5,2.55,12.16,11.45
2022,JANUARY,6.53,2.55,12.12,11.57
,FEBRUARY,6.61,2.56,12.17,11.63
,MARCH,6.5,2.48,12.15,11.5
,APRIL,6.58,2.56,12.2,11.69
,MAY,6.59,2.52,12.22,11.76
,JUNE,6.62,2.5,12.27,11.86
,JULY,6.74,2.94,12.35,12.02
,AUGUST,6.93,3.47,12.43,12.1
,SEPTEMBER,6.82,3.44,12.41,11.99
,OCTOBER,7.01,3.46,12.39,11.96
,NOVEMBER,7.11,3.5,12.64,12.16
,DECEMBER,7.17,3.56,12.67,12.22
2023,JANUARY,7.47,3.6,12.77,12.34
,FEBRUARY,7.54,3.58,13.06,12.62
,MARCH,7.6,3.55,13.09,12.69
,APRIL,7.69,3.59,13.1,12.71
,MAY,7.61,3.92,13.21,12.64
,JUNE,7.8,3.92,13.31,12.83
,JULY,8.1,3.97,13.5,12.84
,AUGUST,8.39,4.05,13.83,13.24
,,,,,
,,,,,
1/ The weights correspond to each bank's market share in either ,,,,,
    deposit liability in the case of deposit interest rates or loans and,,,,,
    advances in the case of lending rates.,,,,,
* Provisional,,,,,
Source: Central Bank of Kenya,,,,,
